index,brand,model,mileage,price_range,link
3690.,TOYOTA,HILUX VIGO G 4WD 3.0 DCT (Navi),-,"425,000 - 580,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-g-4wd-3-0-dct-navi-manual
3691.,TOYOTA,HILUX VIGO G 4WD 3.0DCT Auto,-,"295,000 - 565,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-g-4wd-3-0dct-auto-automatic
3692.,TOYOTA,HILUX VIGO G 4WD 3.0DCT,-,"280,000 - 285,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-g-4wd-3-0dct-automatic
3693.,TOYOTA,HILUX VIGO G 4WD 3.0DCT,"5,255","230,000 - 545,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-g-4wd-3-0dct-manual
3694.,TOYOTA,HILUX VIGO G 4WD 3.0DCT (Navi) Auto,"6,386","330,000 - 640,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-g-4wd-3-0dct-navi-auto-automatic
3695.,TOYOTA,HILUX VIGO G 4WD 3.0DCT (Navi),"5,987","315,000 - 615,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-g-4wd-3-0dct-navi-manual
3696.,TOYOTA,HILUX VIGO J 2.5 DCT,"3,925","200,000 - 400,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-5-dct-manual
3697.,TOYOTA,HILUX VIGO J 2.5 DCT (NON PS),-,"225,000 - 310,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-5-dct-non-ps-manual
3698.,TOYOTA,HILUX VIGO J 2.5 DCT (VNT),-,"245,000 - 335,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-5-dct-vnt-manual
3699.,TOYOTA,HILUX VIGO J 2.5DCT,"4,257","210,000 - 435,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-5dct-manual
3700.,TOYOTA,HILUX VIGO J 2.5DT,-,"210,000 - 385,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-5dt-manual
3701.,TOYOTA,HILUX VIGO J 2.7i (CNG),"3,792","230,000 - 365,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-7i-cng-manual
3702.,TOYOTA,HILUX VIGO J 2.7i,"3,326","200,000 - 320,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-2-7i-manual
3703.,TOYOTA,HILUX VIGO J STD 2.5DCT,"3,259","245,000 - 340,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-std-2-5dct-manual
3704.,TOYOTA,HILUX VIGO J STD 2.5DCT (NON PS),"3,126","235,000 - 325,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-std-2-5dct-non-ps-manual
3705.,TOYOTA,HILUX VIGO J STD 2.5DCT (PS),"3,658","250,000 - 370,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-std-2-5dct-ps-manual
3706.,TOYOTA,HILUX VIGO J STD 2.5DCT (VNT),"3,392","255,000 - 345,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-std-2-5dct-vnt-manual
3707.,TOYOTA,HILUX VIGO J STD 2.7i (Benzene),"2,794","210,000 - 290,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-std-2-7i-benzene-manual
